$C$	$d=0.1$	$d=0.3$	$d=0.5$	$d=0.7$	$d=0.9$
950000000	1.94338(83)	0.55135(52)	0.26178(28)	0.11922(14)	0.03585(13)
955000000	1.94355(86)	0.55140(52)	0.26178(28)	0.11923(14)	0.03584(13)
960000000	1.94358(81)	0.55142(51)	0.26178(28)	0.11924(14)	0.03584(13)
965000000	1.94367(79)	0.55146(50)	0.26178(28)	0.11924(14)	0.03584(13)
970000000	1.94370(81)	0.55150(49)	0.26178(29)	0.11923(14)	0.03584(13)
975000000	1.94356(80)	0.55151(49)	0.26179(28)	0.11924(14)	0.03584(13)
980000000	1.94345(85)	0.55148(47)	0.26180(28)	0.11924(14)	0.03584(13)
985000000	1.94355(84)	0.55145(48)	0.26182(28)	0.11924(14)	0.03585(13)
990000000	1.94347(84)	0.55144(48)	0.26183(29)	0.11924(14)	0.03585(13)
995000000	1.94352(87)	0.55141(47)	0.26183(28)	0.11924(14)	0.03585(13)
1000000000	1.94359(80)	0.55142(46)	0.26181(29)	0.11925(14)	0.03585(13)
1005000000	1.94357(81)	0.55144(47)	0.26180(28)	0.11924(14)	0.03586(13)
1010000000	1.94349(85)	0.55148(45)	0.26180(28)	0.11924(14)	0.03586(13)
1015000000	1.94364(87)	0.55150(45)	0.26179(28)	0.11926(14)	0.03586(13)
1020000000	1.94356(86)	0.55153(46)	0.26178(28)	0.11925(14)	0.03586(13)
1025000000	1.94367(87)	0.55153(45)	0.26177(28)	0.11926(14)	0.03586(13)
1030000000	1.94364(89)	0.55153(45)	0.26178(28)	0.11927(14)	0.03586(13)
1035000000	1.94351(86)	0.55157(45)	0.26179(28)	0.11928(13)	0.03586(13)
1040000000	1.94358(81)	0.55154(47)	0.26179(28)	0.11926(13)	0.03587(13)
1045000000	1.94353(90)	0.55152(46)	0.26177(28)	0.11927(13)	0.03587(13)
1050000000	1.94351(88)	0.55155(47)	0.26178(28)	0.11927(13)	0.03586(13)
1055000000	1.94347(91)	0.55151(47)	0.26178(28)	0.11926(13)	0.03586(13)
1060000000	1.94343(91)	0.55150(48)	0.26179(28)	0.11926(12)	0.03586(13)
1065000000	1.94337(87)	0.55147(46)	0.26178(29)	0.11926(12)	0.03586(13)
1070000000	1.94327(86)	0.55146(46)	0.26178(29)	0.11926(12)	0.03586(13)
1075000000	1.94325(89)	0.55148(45)	0.26176(29)	0.11925(12)	0.03586(13)
1080000000	1.94333(91)	0.55146(45)	0.26175(28)	0.11924(12)	0.03586(13)
1085000000	1.94335(91)	0.55146(44)	0.26175(28)	0.11925(12)	0.03585(13)
1090000000	1.94317(98)	0.55141(43)	0.26175(28)	0.11926(11)	0.03585(13)
1095000000	1.94316(95)	0.55140(42)	0.26175(28)	0.11926(11)	0.03585(13)
1100000000	1.94333(92)	0.55143(43)	0.26176(27)	0.11926(11)	0.03585(13)
1105000000	1.94332(96)	0.55141(45)	0.26176(27)	0.11927(11)	0.03585(13)
1110000000	1.94330(94)	0.55142(46)	0.26177(26)	0.11928(11)	0.03585(13)
1115000000	1.94341(93)	0.55139(45)	0.26176(26)	0.11929(11)	0.03585(13)
1120000000	1.94357(92)	0.55141(45)	0.26176(26)	0.11929(11)	0.03585(13)
1125000000	1.94361(90)	0.55141(45)	0.26178(26)	0.119281(98)	0.03585(13)
1130000000	1.94357(86)	0.55142(43)	0.26179(26)	0.119291(98)	0.03585(13)
1135000000	1.94345(89)	0.55147(42)	0.26177(25)	0.119297(96)	0.03585(13)
1140000000	1.94345(91)	0.55150(43)	0.26177(26)	0.119308(94)	0.03585(13)
1145000000	1.94342(89)	0.55150(43)	0.26178(25)	0.119314(93)	0.03585(13)
1150000000	1.94346(89)	0.55152(44)	0.26180(25)	0.119318(92)	0.03585(13)
1155000000	1.94345(89)	0.55152(45)	0.26179(24)	0.119319(90)	0.03585(13)
1160000000	1.94351(90)	0.55152(45)	0.26179(25)	0.119316(89)	0.03585(13)
1165000000	1.94351(84)	0.55155(46)	0.26180(24)	0.119319(90)	0.03585(13)
1170000000	1.94354(86)	0.55156(46)	0.26182(25)	0.119318(90)	0.03585(13)
1175000000	1.94339(91)	0.55159(47)	0.26181(24)	0.119326(87)	0.03585(13)
1180000000	1.94337(88)	0.55161(47)	0.26181(24)	0.119330(88)	0.03585(14)
1185000000	1.94341(86)	0.55159(47)	0.26179(25)	0.119322(88)	0.03584(14)
1190000000	1.94332(87)	0.55163(45)	0.26179(25)	0.119320(87)	0.03585(14)
1195000000	1.94331(87)	0.55164(45)	0.26178(25)	0.119310(86)	0.03584(14)
1200000000	1.94328(86)	0.55163(44)	0.26176(26)	0.119308(83)	0.03584(14)
1205000000	1.94333(86)	0.55163(44)	0.26177(26)	0.119308(84)	0.03584(14)
1210000000	1.94335(86)	0.55170(45)	0.26175(26)	0.119311(84)	0.03583(13)
1215000000	1.94348(84)	0.55168(46)	0.26175(26)	0.119309(85)	0.03583(13)
1220000000	1.94355(87)	0.55170(45)	0.26176(26)	0.119311(86)	0.03583(13)
1225000000	1.94350(87)	0.55171(45)	0.26175(26)	0.119314(84)	0.03583(13)
1230000000	1.94346(87)	0.55173(45)	0.26174(26)	0.119311(86)	0.03583(13)
1235000000	1.94342(82)	0.55173(45)	0.26172(26)	0.119304(87)	0.03583(13)
1240000000	1.94336(82)	0.55172(44)	0.26172(26)	0.119301(88)	0.03583(13)
1245000000	1.94344(83)	0.55172(43)	0.26173(26)	0.119296(92)	0.03583(13)
1250000000	1.94344(84)	0.55172(43)	0.26173(26)	0.119297(91)	0.03583(13)
1255000000	1.94347(87)	0.55167(42)	0.26174(25)	0.119299(90)	0.03583(13)
1260000000	1.94351(94)	0.55166(41)	0.26174(25)	0.119306(89)	0.03582(13)
1265000000	1.94350(96)	0.55167(41)	0.26174(25)	0.119306(89)	0.03582(13)
1270000000	1.94349(96)	0.55167(41)	0.26176(25)	0.119301(89)	0.03582(13)
1275000000	1.94346(96)	0.55169(42)	0.26178(24)	0.119298(90)	0.03583(13)
1280000000	1.94345(98)	0.55170(42)	0.26179(25)	0.119292(95)	0.03583(13)
1285000000	1.94355(99)	0.55172(41)	0.26180(24)	0.119288(93)	0.03583(13)
1290000000	1.94356(97)	0.55172(41)	0.26183(24)	0.119290(91)	0.03583(13)
1295000000	1.94359(95)	0.55169(42)	0.26182(25)	0.119291(94)	0.03583(13)
1300000000	1.94340(92)	0.55169(42)	0.26183(25)	0.119295(96)	0.03584(13)
1305000000	1.94354(97)	0.55167(42)	0.26184(25)	0.119296(97)	0.03584(13)
1310000000	1.94354(96)	0.55169(43)	0.26184(24)	0.119305(97)	0.03584(13)
1315000000	1.94366(95)	0.55171(43)	0.26183(24)	0.119305(97)	0.03584(13)
1320000000	1.94371(95)	0.55173(42)	0.26183(24)	0.119301(98)	0.03584(13)
1325000000	1.94372(96)	0.55172(44)	0.26182(24)	0.119303(100)	0.03584(13)
1330000000	1.94383(97)	0.55172(44)	0.26182(24)	0.11931(11)	0.03584(13)
1335000000	1.94383(96)	0.55173(44)	0.26183(23)	0.11930(11)	0.03584(13)
1340000000	1.94391(90)	0.55175(45)	0.26182(23)	0.11930(11)	0.03584(13)
1345000000	1.94398(89)	0.55173(45)	0.26181(23)	0.11929(11)	0.03584(13)
1350000000	1.94396(87)	0.55177(47)	0.26180(23)	0.11930(11)	0.03584(13)
1355000000	1.94396(92)	0.55180(46)	0.26180(23)	0.11930(11)	0.03583(13)
1360000000	1.94397(91)	0.55182(48)	0.26180(23)	0.11930(11)	0.03583(13)
